epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,18062.9,0.62023,0.25311,0.95733,0.93202,0.88922,0.92833,0.73763,0.82096,0.3181,1.06299,0.00109,0.00109,0.00109
92,18497.7,0.60854,0.24816,0.95381,0.93375,0.89089,0.938,0.7438,0.81913,0.31719,1.06217,0.000991,0.000991,0.000991
93,18932.9,0.60123,0.24478,0.95195,0.93014,0.89351,0.93792,0.74373,0.81755,0.31647,1.0616,0.000892,0.000892,0.000892
94,19365.4,0.59597,0.24259,0.94811,0.92603,0.8961,0.93797,0.74128,0.81571,0.31568,1.06077,0.000793,0.000793,0.000793
95,19798,0.58942,0.23962,0.9472,0.91988,0.89799,0.93778,0.74122,0.81389,0.31495,1.06011,0.000694,0.000694,0.000694
96,20231.7,0.58412,0.23608,0.94505,0.91447,0.89944,0.93584,0.74159,0.81209,0.31417,1.05964,0.000595,0.000595,0.000595
97,20665,0.57784,0.23481,0.94197,0.91209,0.89727,0.93509,0.74151,0.81038,0.31366,1.0592,0.000496,0.000496,0.000496
98,21097.2,0.57528,0.23163,0.94121,0.91461,0.89317,0.93375,0.74202,0.80818,0.31319,1.05833,0.000397,0.000397,0.000397
99,21529.9,0.5689,0.22886,0.9373,0.91417,0.89079,0.93156,0.74096,0.80603,0.31253,1.05764,0.000298,0.000298,0.000298
100,21998.3,0.56544,0.22686,0.93592,0.91485,0.89045,0.93289,0.7408,0.80418,0.31215,1.05714,0.000199,0.000199,0.000199
